🔍 Available Models (Dec 2025):
- embedding-gecko-001            ['embedText', 'countTextTokens']
- gemini-2.5-flash               ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.5-pro                 ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.0-flash-exp           ['generateContent', 'countTokens', 'bidiGenerateContent']
- gemini-2.0-flash               ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.0-flash-001           ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.0-flash-lite-001      ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.0-flash-lite          ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.0-flash-lite-preview-02-05 ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.0-flash-lite-preview  ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.0-pro-exp             ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-2.0-pro-exp-02-05       ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-exp-1206                ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-flash-latest            ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- gemini-pro-latest              ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
- embedding-001                  ['embedContent']
- text-embedding-004             ['embedContent']
- gemini-embedding-001           ['embedContent', 'countTextTokens', 'countTokens', 'asyncBatchEmbedContent']
